symbol,IR-mock,Apoptosis
Pigf,Up,No
Spsb1,None,No
Oxld1,None,No
Ahi1,None,No
Rgs12,None,No
Micall2,None,No
Ppm1d,None,No
Palm,None,No
Serpine2,None,No
Nfil3,None,No
Gm15185,None,No
Rnf169,None,No
Sac3d1,Up,No
Nfyb,None,No
Gm44216,None,No
Il2ra,None,Yes
Gne,None,No
Bloc1s2,None,Yes
Rap2a,None,No
Clec2g,None,No
Glipr1,None,No
Mapkapk3,None,No
Cpped1,None,No
Bcl2l15,None,Yes
Zfp958,None,No
Efna5,None,No
Gpr68,None,No
Adam8,None,Yes
Commd3,None,No
Ston1,None,No
Ppp2r5d,Up,No
Itm2a,None,No
Tnfrsf10b,None,Yes
Dnah12,None,No
Gm17981,None,No
Eng,None,No
Phlda1,None,Yes
Scd4,None,No
Trim7,Down,No
Zfp874a,None,No
Slc25a42,None,No
Tnfrsf18,None,Yes
Acot1,None,Yes
St14,None,No
Xrra1,None,No
Pcdhgc5,None,Yes
Abhd4,None,No
Rarg,None,Yes
Fbxw9,None,No
Rbl2,None,No
Mettl6,Up,No
Crip2,Down,No
Gpr55,None,No
Homer3,None,No
Arhgef9,None,No
Nectin4,None,No
Ttc9,None,No
H2aj,None,No
Snx20,None,No
Clec2f,None,No
Tef,None,No
Irak1bp1,None,No
Cuedc1,None,No
Kif1c,None,No
Hspa2,None,No
Msh6,Up,Yes
Sdc1,Down,No
Zbtb10,Up,No
Ephx1,Down,No
Kifc5b,None,No
Sspn,Down,No
Kcnc3,Up,No
Vopp1,None,No
Dffb,None,Yes
Zfp456,None,No
Hpcal1,Down,No
Cacna1b,None,No
Gm9961,None,No
Zfp688,None,No
Samsn1,Up,No
Anks1b,None,No
Gm16071,None,No
Depdc5,None,No
Rnf144a,Down,No
Bfsp2,None,No
Espn,None,No
Dkkl1,Down,Yes
Csnk1g1,None,No
Trim32,None,Yes
Gpr132,Up,No
Gss,None,No
Wdr91,None,No
Txlnb,None,No
Slc2a4,None,No
Eid3,None,No
Fam110a,None,No
Paqr5,None,No
Foxo3,None,Yes
Ptp4a3,None,No
Ttll9,None,No
Kifc5c-ps,None,No
Chek2,None,Yes
Frrs1,None,No
Trib2,None,No
Tbxa2r,Down,No
Myo3b,Down,No
Txnrd1,Up,No
Igsf11,None,No
Ehd4,Down,No
Tbc1d2,None,No
Ptpn14,None,No
Erich1,None,No
Sarm1,None,Yes
Gm15988,None,No
Clcn2,None,No
Nanos1,None,No
Gm6092,None,No
Tnip3,None,No
Myo10,None,No
Fosl2,None,No
Pinlyp,None,No
Rgs18,None,No
Celsr2,None,No
Mx1,None,No
Tmtc3,None,No
Rapgef3,Down,Yes
Tcp11l2,Down,No
Avpr1b,None,No
Pdrg1,None,No
D630023F18Rik,None,No
Tnfrsf26,Down,Yes
Cecr2,None,Yes
Zfyve21,None,No
Cers4,None,No
Scd2,None,No
Slc35d1,None,No
ENSMUSG00000107877,None,No
Gm45209,None,No
Fhip1b,None,No
Trio,None,No
Gask1b,None,No
Upf3b,None,No
Gm10819,None,No
Mmp15,None,No
Fbxo34,None,No
Syne3,Down,No
Bscl2,None,No
Sytl2,None,No
1700073E17Rik,None,No
Zfp692,None,No
Gm13285,None,No
Tmem108,Down,No
Rab40c,None,No
P2rx7,None,Yes
Utrn,Down,No
Wrap73,None,No
Glipr2,None,No
B3gnt8,Down,No
Gm10309,Down,No
Mfge8,None,No
Fzd5,None,Yes
Stra8,None,No
Gabpb1,None,No
Casp7,None,Yes
Dstn,None,No
Fuca1,None,No
Fam53b,None,No
Map3k9,Down,Yes
Arhgap21,None,No
Ttc28,Down,No
Tm7sf3,None,No
Ulk1,None,No
Tert,None,Yes
Mturn,Down,No
Mxd4,Down,No
Gm8818,None,No
Ypel3,Down,Yes
Plekho2,None,Yes
Rhbdf2,Down,No
Cep290,None,No
Vim,Down,No
Eola1,None,No
Ldlrap1,None,No
Gm16106,None,No
Arhgef18,Down,No
Zfp219,None,No
Nrxn2,Down,No
Fam13a,Down,No
Bach2,Down,No
Zfp703,None,No
Fam168a,Down,No
Scml4,Down,No
Gm15602,None,No
Pdk2,Down,Yes
Zcchc24,Down,No
Tmsb15b2,Down,No
Lamc1,Down,No
Papln,Down,No
Capg,Down,No
Kif21b,Down,No
Dgka,Down,No
ENSMUSG00000074497,Down,No
Mafa,None,No
Dab2ip,None,Yes
Cd55,Down,No
Vmac,None,No
Ddx25,Down,No
Trpm2,None,No
Wipi1,None,No
Gm3200,None,No
Nfic,None,No
Rell1,Down,No
Ust,None,No
Aanat,Down,No
Zbtb7b,None,No
Ngfr,Down,Yes
App,None,Yes
Pear1,Down,No
Vasn,Down,No
Fam214a,Down,No
Tmem71,Down,No
Orai2,Down,No
Akap12,Down,Yes
Tsku,Down,No
Btg2,Down,Yes
Prkce,Down,Yes
Sptbn5,Down,No
Lca5,Down,No
Slc2a8,Down,No
S100a11,None,No
Pdzd2,Down,No
Nfatc2,None,No
Psd3,Down,No
Sfxn3,Down,No
Ypel2,Down,No
Rb1,None,Yes
Ctse,Down,No
Pitpnc1,Down,No
Cd93,Down,No
Trp53i11,Down,No
Zc3h6,None,No
Pde2a,Down,No
Cast,Down,Yes
Cd55b,Down,No
Tcn2,None,No
S100a10,Down,No
Etv5,None,No
Coro7,Down,No
Gm26528,Down,No
Rps6ka5,Down,No
Brdt,Down,No
Esr1,Down,Yes
Mgst2,Down,No
Eps8,Down,No
Cep250,Down,No
Nlrx1,None,No
Runx1,Down,No
Plec,Down,No
Itga6,Down,Yes
Rgl1,None,No
Stard10,Down,No
Calhm2,Down,Yes
Rnasel,Down,No
Hmgb1-ps8,Down,No
Scand1,None,No
Fmo5,Down,No
Chst14,Down,No
Prxl2c,Down,No
Dck,Down,No
Gtf2ird1,None,No
Sh2d3c,Down,No
Calcoco1,Down,No
Trafd1,Down,No
Tex9,Down,No
Svil,Down,No
Gab3,Down,No
Fam149b,Down,No
Fam234a,Down,No
Pstpip1,Down,No
Baz2b,Down,No
Sgms1,Down,Yes
Tom1l2,Down,No
Ptpre,Down,No
Abtb1,Down,No
Atp13a2,None,No
Maml3,Down,No
Thra,Down,Yes
Tsc22d1,None,No
